time	V(v0)	V(n001)
1.015325517634474e-01	-3.654104e+00	2.052172e+00
1.017278642634474e-01	-3.653952e+00	2.211516e+00
1.019231767634474e-01	-3.653800e+00	2.337596e+00
1.021184892634475e-01	-3.653648e+00	2.428517e+00
1.023138017634475e-01	-3.653496e+00	2.482911e+00
1.025091142634475e-01	-3.653345e+00	2.499959e+00
1.026648408927648e-01	-3.653224e+00	2.486603e+00
1.028601533927648e-01	-3.653072e+00	2.436263e+00
1.030554658927648e-01	-3.652920e+00	2.349280e+00
1.032507783927648e-01	-3.652768e+00	2.226961e+00
1.034460908927648e-01	-3.652616e+00	2.071147e+00
1.036414033927648e-01	-3.652464e+00	1.884180e+00
1.038367158927648e-01	-3.652313e+00	1.668874e+00
1.040320283927648e-01	-3.652161e+00	1.428467e+00
1.042273408927648e-01	-3.652009e+00	1.166574e+00
1.044226533927648e-01	-3.651857e+00	8.871343e-01
1.046179658927648e-01	-3.651706e+00	5.943515e-01
1.048132783927648e-01	-3.651554e+00	2.926292e-01
1.050085908927648e-01	-3.651402e+00	-1.349448e-02
1.052039033927648e-01	-3.651250e+00	-3.194152e-01
1.053992158927648e-01	-3.651099e+00	-6.205317e-01
1.055945283927648e-01	-3.650947e+00	-9.123147e-01
1.057898408927648e-01	-3.650795e+00	-1.190376e+00
1.059851533927648e-01	-3.650644e+00	-1.450532e+00
1.061804658927648e-01	-3.650492e+00	-1.688872e+00
1.063757783927648e-01	-3.650340e+00	-1.901809e+00
1.065710908927648e-01	-3.650188e+00	-2.086141e+00
1.067664033927648e-01	-3.650037e+00	-2.239095e+00
1.069617158927648e-01	-3.649912e+00	-2.358372e+00
1.071570283927648e-01	-3.650419e+00	-2.442176e+00
1.073523408927648e-01	-3.653875e+00	-2.489248e+00
1.075476533927648e-01	-3.659478e+00	-2.498879e+00
1.077275904289604e-01	-3.662676e+00	-2.474483e+00
1.079229029289604e-01	-3.663437e+00	-2.412261e+00
1.081182154289604e-01	-3.663357e+00	-2.313756e+00
1.083135279289604e-01	-3.663206e+00	-2.180451e+00
1.085088404289604e-01	-3.663054e+00	-2.014349e+00
1.087041529289604e-01	-3.662902e+00	-1.817950e+00
1.088994654289604e-01	-3.662750e+00	-1.594207e+00
1.090947779289604e-01	-3.662598e+00	-1.346486e+00
1.092900904289604e-01	-3.662445e+00	-1.078512e+00
1.094854029289604e-01	-3.662293e+00	-7.943165e-01
1.096807154289604e-01	-3.662141e+00	-4.981737e-01
1.098760279289605e-01	-3.661989e+00	-1.945380e-01
1.100713404289605e-01	-3.661837e+00	1.120238e-01
1.102666529289605e-01	-3.661685e+00	4.169006e-01
1.104619654289605e-01	-3.661532e+00	7.155069e-01
1.106572779289605e-01	-3.661380e+00	1.003351e+00
1.108525904289605e-01	-3.661228e+00	1.276104e+00
