time	V(vds)	V(vgs)	V(vo)	Id(M1)
8.755406250747917e-04	1.405476e+01	-3.506457e-03	3.604848e-04	1.117275e-03
8.804234375747917e-04	1.405474e+01	-3.396494e-03	3.491833e-04	1.117289e-03
8.853062500747917e-04	1.405473e+01	-3.283335e-03	3.375325e-04	1.117304e-03
8.901890625747917e-04	1.405472e+01	-3.167088e-03	3.255859e-04	1.117319e-03
8.950718750747917e-04	1.405471e+01	-3.047861e-03	3.133125e-04	1.117335e-03
8.999546875747917e-04	1.405470e+01	-2.925768e-03	3.007660e-04	1.117351e-03
9.048375000747917e-04	1.405468e+01	-2.800921e-03	2.879159e-04	1.117368e-03
9.097203125747917e-04	1.405467e+01	-2.673442e-03	2.748167e-04	1.117384e-03
9.146031250747917e-04	1.405466e+01	-2.543447e-03	2.614383e-04	1.117402e-03
9.194859375747917e-04	1.405464e+01	-2.411061e-03	2.478358e-04	1.117419e-03
9.243687500747917e-04	1.405463e+01	-2.276405e-03	2.339795e-04	1.117437e-03
9.292515625747917e-04	1.405462e+01	-2.139610e-03	2.199250e-04	1.117455e-03
9.341343750747917e-04	1.405460e+01	-2.000802e-03	2.056429e-04	1.117473e-03
9.390171875747917e-04	1.405459e+01	-1.860114e-03	1.911891e-04	1.117492e-03
9.439000000747917e-04	1.405457e+01	-1.717675e-03	1.765350e-04	1.117510e-03
9.487828125747918e-04	1.405456e+01	-1.573622e-03	1.617366e-04	1.117529e-03
9.536656250747918e-04	1.405454e+01	-1.428089e-03	1.467654e-04	1.117549e-03
9.585484375747918e-04	1.405453e+01	-1.281214e-03	1.316781e-04	1.117568e-03
9.634312500747918e-04	1.405451e+01	-1.133134e-03	1.164462e-04	1.117587e-03
9.683140625747918e-04	1.405450e+01	-9.839903e-04	1.011268e-04	1.117607e-03
9.731968750747918e-04	1.405448e+01	-8.339207e-04	8.569159e-05	1.117627e-03
9.780796875747918e-04	1.405447e+01	-6.830692e-04	7.019774e-05	1.117647e-03
9.829625000747917e-04	1.405445e+01	-5.315750e-04	5.461725e-05	1.117667e-03
9.878453125747916e-04	1.405443e+01	-3.795835e-04	3.900726e-05	1.117687e-03
9.927281250747915e-04	1.405442e+01	-2.272349e-04	2.334006e-05	1.117707e-03
9.976109375747914e-04	1.405440e+01	-7.467542e-05	7.672887e-06	1.117727e-03
1.002493750074791e-03	1.405439e+01	7.795417e-05	-8.022088e-06	1.117747e-03
1.007376562574791e-03	1.405437e+01	2.305074e-04	-2.368748e-05	1.117767e-03
1.012259375074791e-03	1.405436e+01	3.828436e-04	-3.935124e-05	1.117787e-03
1.017142187574791e-03	1.405434e+01	5.348164e-04	-5.495589e-05	1.117807e-03
1.022025000074791e-03	1.405432e+01	6.862857e-04	-7.052942e-05	1.117827e-03
1.026907812574791e-03	1.405431e+01	8.371061e-04	-8.601465e-05	1.117847e-03
1.031790625074791e-03	1.405429e+01	9.871386e-04	-1.014394e-04	1.117867e-03
