time	V(vo)	V(Vgs)	Ig
4.036237500149540e-03	-7.171818e-04	1.120143e-03	8.321865e-04
4.046003125149539e-03	-9.060441e-04	1.415218e-03	8.322753e-04
4.055768750149539e-03	-1.093282e-03	1.707766e-03	8.323633e-04
4.075300000149539e-03	-1.451080e-03	2.266841e-03	8.325314e-04
4.094831250149538e-03	-1.787001e-03	2.791796e-03	8.326893e-04
4.114362500149538e-03	-2.095986e-03	3.274734e-03	8.328345e-04
4.133893750149538e-03	-2.373378e-03	3.708392e-03	8.329650e-04
4.153425000149537e-03	-2.614995e-03	4.086248e-03	8.330785e-04
4.172956250149537e-03	-2.817194e-03	4.402618e-03	8.331736e-04
4.192487500149536e-03	-2.976925e-03	4.652743e-03	8.332487e-04
4.212018750149536e-03	-3.091778e-03	4.832862e-03	8.333027e-04
4.231550000149535e-03	-3.160021e-03	4.940265e-03	8.333349e-04
4.251081250149535e-03	-3.180624e-03	4.973337e-03	8.333446e-04
4.270612500149535e-03	-3.153276e-03	4.931580e-03	8.333318e-04
4.290143750149534e-03	-3.078389e-03	4.815623e-03	8.332967e-04
4.309675000149534e-03	-2.957094e-03	4.627209e-03	8.332398e-04
4.329206250149533e-03	-2.791221e-03	4.369173e-03	8.331619e-04
4.348737500149533e-03	-2.583272e-03	4.045395e-03	8.330642e-04
4.368268750149533e-03	-2.336383e-03	3.660746e-03	8.329483e-04
4.387800000149532e-03	-2.054277e-03	3.221011e-03	8.328157e-04
4.407331250149532e-03	-1.741207e-03	2.732804e-03	8.326686e-04
4.426862500149531e-03	-1.401891e-03	2.203468e-03	8.325092e-04
4.456159375149531e-03	-8.549756e-04	1.349903e-03	8.322522e-04
4.485456250149530e-03	-2.790837e-04	4.506709e-04	8.319816e-04
4.495221875149530e-03	-8.220617e-05	1.431537e-04	8.318891e-04
4.504987500149530e-03	1.131679e-04	-1.620622e-04	8.317973e-04
4.514753125149529e-03	3.070384e-04	-4.649769e-04	8.317062e-04
4.524518750149529e-03	4.994055e-04	-7.655903e-04	8.316158e-04
4.534284375149529e-03	6.902692e-04	-1.063903e-03	8.315261e-04
4.544050000149529e-03	8.796293e-04	-1.359913e-03	8.314371e-04
4.553815625149529e-03	1.067486e-03	-1.653623e-03	8.313488e-04
4.573346875149528e-03	1.426871e-03	-2.215655e-03	8.311799e-04
4.592878125149528e-03	1.764844e-03	-2.744386e-03	8.310211e-04
4.612409375149527e-03	2.076328e-03	-3.231864e-03	8.308746e-04
4.631940625149527e-03	2.356649e-03	-3.670757e-03	8.307429e-04
4.651471875149527e-03	2.601600e-03	-4.054463e-03	8.306277e-04
4.671003125149526e-03	2.807504e-03	-4.377211e-03	8.305309e-04
4.690534375149526e-03	2.971276e-03	-4.634147e-03	8.304539e-04
4.710065625149525e-03	3.090457e-03	-4.821406e-03	8.303978e-04
4.729596875149525e-03	3.163261e-03	-4.936172e-03	8.303635e-04
4.749128125149524e-03	3.188597e-03	-4.976717e-03	8.303515e-04
4.768659375149524e-03	3.166084e-03	-4.942433e-03	8.303621e-04
4.788190625149524e-03	3.096061e-03	-4.833836e-03	8.303949e-04
4.807721875149523e-03	2.979577e-03	-4.652558e-03	8.304496e-04
4.827253125149523e-03	2.818378e-03	-4.401326e-03	8.305253e-04
4.846784375149522e-03	2.614882e-03	-4.083919e-03	8.306209e-04
4.866315625149522e-03	2.372141e-03	-3.705111e-03	8.307349e-04
4.885846875149522e-03	2.093797e-03	-3.270600e-03	8.308656e-04
4.905378125149521e-03	1.784027e-03	-2.786921e-03	8.310112e-04
4.924909375149521e-03	1.447481e-03	-2.261348e-03	8.311693e-04
4.954206250149520e-03	9.036030e-04	-1.411876e-03	8.314248e-04
4.983503125149519e-03	3.292819e-04	-5.147546e-04	8.316947e-04
4.993268750149519e-03	1.325832e-04	-2.074831e-04	8.317872e-04
5.003034375149519e-03	-6.278241e-05	9.771442e-05	8.318790e-04
5.012800000149519e-03	-2.568150e-04	4.008380e-04	8.319702e-04
5.022565625149519e-03	-4.495146e-04	7.018876e-04	8.320607e-04
5.032331250149518e-03	-6.408811e-04	1.000863e-03	8.321507e-04
5.042096875149518e-03	-8.309146e-04	1.297765e-03	8.322400e-04
5.051862500149518e-03	-1.019615e-03	1.592592e-03	8.323286e-04
5.071393750149518e-03	-1.381150e-03	2.157497e-03	8.324985e-04
5.090925000149517e-03	-1.721863e-03	2.689925e-03	8.326587e-04
5.110456250149517e-03	-2.036622e-03	3.181870e-03	8.328066e-04
5.129987500149516e-03	-2.320683e-03	3.625931e-03	8.329402e-04
5.149518750149516e-03	-2.569765e-03	4.015430e-03	8.330573e-04
5.169050000149516e-03	-2.780111e-03	4.344509e-03	8.331562e-04
5.188581250149515e-03	-2.948549e-03	4.608217e-03	8.332354e-04
5.208112500149515e-03	-3.072539e-03	4.802588e-03	8.332937e-04
5.227643750149514e-03	-3.150209e-03	4.924699e-03	8.333303e-04
