time	V(n002)	V(n004)	Id(M1)
1.490775000074781e-03	-6.927310e-05	2.848632e-04	8.295763e-04
1.495657812574781e-03	-3.118522e-05	1.323730e-04	8.295589e-04
1.500540625074781e-03	7.138752e-06	-2.024786e-05	8.295414e-04
1.505423437574781e-03	4.525196e-05	-1.728468e-04	8.295240e-04
1.510306250074780e-03	8.352932e-05	-3.252890e-04	8.295064e-04
1.515189062574780e-03	1.215240e-04	-4.774222e-04	8.294891e-04
1.520071875074780e-03	1.596113e-04	-6.291121e-04	8.294717e-04
1.524954687574780e-03	1.973441e-04	-7.802071e-04	8.294544e-04
1.529837500074780e-03	2.350979e-04	-9.305737e-04	8.294372e-04
1.534720312574780e-03	2.724265e-04	-1.080062e-03	8.294201e-04
1.539603125074780e-03	3.097054e-04	-1.228539e-03	8.294031e-04
1.544485937574780e-03	3.464888e-04	-1.375858e-03	8.293862e-04
1.549368750074780e-03	3.831529e-04	-1.521887e-03	8.293695e-04
1.554251562574779e-03	4.192523e-04	-1.666481e-03	8.293530e-04
1.559134375074779e-03	4.551639e-04	-1.809513e-03	8.293365e-04
1.564017187574779e-03	4.904428e-04	-1.950839e-03	8.293204e-04
1.568900000074779e-03	5.254673e-04	-2.090335e-03	8.293044e-04
1.573782812574779e-03	5.597929e-04	-2.227860e-03	8.292887e-04
1.578665625074779e-03	5.937986e-04	-2.363295e-03	8.292732e-04
1.583548437574779e-03	6.270412e-04	-2.496503e-03	8.292579e-04
1.588431250074779e-03	6.599005e-04	-2.627367e-03	8.292429e-04
1.593314062574779e-03	6.919347e-04	-2.755755e-03	8.292283e-04
1.598196875074779e-03	7.235245e-04	-2.881556e-03	8.292139e-04
1.603079687574778e-03	7.542290e-04	-3.004642e-03	8.291998e-04
1.607962500074778e-03	7.844307e-04	-3.124906e-03	8.291860e-04
1.612845312574778e-03	8.136898e-04	-3.242227e-03	8.291726e-04
1.617728125074778e-03	8.423901e-04	-3.356501e-03	8.291595e-04
1.622610937574778e-03	8.700932e-04	-3.467614e-03	8.291468e-04
1.627493750074778e-03	8.971844e-04	-3.575469e-03	8.291344e-04
1.632376562574778e-03	9.232271e-04	-3.679957e-03	8.291226e-04
1.637259375074778e-03	9.486076e-04	-3.780986e-03	8.291109e-04
1.642142187574778e-03	9.728912e-04	-3.878455e-03	8.290999e-04
1.647025000074778e-03	9.964660e-04	-3.972279e-03	8.290890e-04
1.651907812574777e-03	1.018899e-03	-4.062362e-03	8.290788e-04
1.656790625074777e-03	1.040579e-03	-4.148627e-03	8.290689e-04
1.661673437574777e-03	1.061077e-03	-4.230985e-03	8.290595e-04
1.666556250074777e-03	1.080782e-03	-4.309367e-03	8.290505e-04
1.671439062574777e-03	1.099266e-03	-4.383691e-03	8.290421e-04
1.676321875074777e-03	1.116922e-03	-4.453894e-03	8.290340e-04
1.681204687574777e-03	1.133323e-03	-4.519903e-03	8.290265e-04
1.686087500074777e-03	1.148864e-03	-4.581664e-03	8.290194e-04
1.690970312574777e-03	1.163119e-03	-4.639110e-03	8.290128e-04
1.695853125074776e-03	1.176487e-03	-4.692195e-03	8.290067e-04
1.700735937574776e-03	1.188543e-03	-4.740862e-03	8.290012e-04
1.705618750074776e-03	1.199688e-03	-4.785073e-03	8.289961e-04
1.710501562574776e-03	1.209499e-03	-4.824777e-03	8.289916e-04
1.715384375074776e-03	1.218379e-03	-4.859947e-03	8.289876e-04
1.720267187574776e-03	1.225908e-03	-4.890539e-03	8.289841e-04
1.725150000074776e-03	1.232489e-03	-4.916535e-03	8.289811e-04
1.730032812574776e-03	1.237707e-03	-4.937901e-03	8.289787e-04
1.734915625074776e-03	1.241967e-03	-4.954625e-03	8.289767e-04
1.739798437574776e-03	1.244853e-03	-4.966683e-03	8.289754e-04
1.744681250074775e-03	1.246775e-03	-4.974073e-03	8.289745e-04
1.749564062574775e-03	1.247319e-03	-4.976779e-03	8.289743e-04
1.754446875074775e-03	1.246896e-03	-4.974806e-03	8.289745e-04
1.759329687574775e-03	1.245096e-03	-4.968149e-03	8.289753e-04
1.764212500074775e-03	1.242330e-03	-4.956821e-03	8.289766e-04
1.769095312574775e-03	1.238191e-03	-4.940826e-03	8.289784e-04
1.773978125074775e-03	1.233094e-03	-4.920187e-03	8.289808e-04
1.778860937574775e-03	1.226631e-03	-4.894914e-03	8.289837e-04
1.783743750074775e-03	1.219221e-03	-4.865040e-03	8.289871e-04
1.788626562574775e-03	1.210460e-03	-4.830584e-03	8.289911e-04
1.793509375074774e-03	1.200766e-03	-4.791589e-03	8.289955e-04
